num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
26000557;GUANTE DIELECTRICO KRAFTEX    ;CLASE 0 CATEGORIA A 1000V     ;UN;UN;1
12002051;MUELA CUADRADORA METALICA BAND;A CONTINUA KEDA 300X12X25 D181;UN;UN;1
12002052;MUELA CUADRADORA RESINA BANDA ;CONTINUA KEDA 300X30X15 D181  ;UN;UN;1
25100964;PROGRAMADOR PICKIT 3          ;P/CIRCUITO INTEGRADO          ;UN;UN;1
25100965;TRIMPOTS 15 VUELTAS 1K        ;POTENCIOMETROS MULTIVUELTAS   ;UN;UN;1
25100966;TRIMPOTS 15 VUELTAS 10K       ;POTENCIOMETROS MULTIVUELTAS   ;UN;UN;1
22500805;RODAMIENTO 2219 M             ;                              ;UN;UN;1
39900239;CAJA P/TORNILLOS DE ANCLAJE   ;CAJA P/TORNILLOS DE ANCLAJE   ;UN;UN;1
11700265;VALVULA PROPORCIONAL MOOG     ;D662-4761                     ;UN;UN;1
12002057;RULLO DIAM.60X60 PACCODISCHI  ;595MM GR40 CORPO 595MM 8 SPIRA;UN;UN;1
12002058;DIAMOND CALIBRATING MOV ROLLER;1000MM MACH D240 615x5-70x9-12;UN;UN;1
12002059;DIAMOND CALIBRATING ROLLER FOR;1000MM MACH D240 460x5-70x9-12;UN;UN;1
12001322;SCOTOLA CUBO INFERIORE        ;POS.21 PEMO.125 MEC125 1706/99;UN;UN;1
12001323;DISTANCIADOR INF.PARA MIM     ;POS.41 PEMO MEC125 1706/99    ;UN;UN;1
12001324;COPERCHIO ACTOLA CURSC INF.   ;POS.15 PEMO.125 MEC125 1706/99;UN;UN;1
12900519;CORPO INFERIORE  POS.1        ;PEMO 503 J3/5 AUS/VA          ;UN;UN;1
12900520;REVESTIMENTO CORPO INF. POS.2 ;PEMO 503 J3/5 AUS/VA          ;UN;UN;1
12900521;REVESTIMENTO CORPO SUP. POS.3 ;PEMO 503 J3/5 AUS/VA          ;UN;UN;1
25000410;SILLA TOLIX BLANCA ASIENTO    ;MADERA                        ;UN;UN;1
25000411;MURAL DE LA EUROPEA           ;                              ;UN;UN;1
25000412;GUIA ARMADO DE ESTRUCTURA     ;                              ;UN;UN;1
19900421;POL RESIN DIAMOND 220 F-170 EU;RA 73307909                   ;UN;CJ;1
19900422;POL RESIN DIAMOND 240 F-170 EU;RA 73308008                   ;UN;CJ;1
19900423;POL RESIN DIAMOND 280 F-170 EU;RA 73308008                   ;UN;CJ;1
11700266;RIDUZIONE A TAPPO 314 X 112   ;-ARMFC12O8-  COD. RG 12 08 M/F;UN;UN;1
11700269;"RIDUZIONI 1/2"" - 3/8"" HP      ";OLEODINAMICA SASSOLESE        ;UN;UN;1
11100025;PORTA CARBON MOTOR MTC        ;PL:110010039                  ;UN;UN;1
22700197;O'RING SERIE:2-229            ;D.I 59.92 D.E 66.98 W=3.53    ;UN;UN;1
11700127;REJILLA TOMA DE AIRE 740X240  ;PLASTICA PL:030010399         ;UN;UN;1
11700128;REJILLA TOMA DE AIRE 845X340  ;PLASTICA PL:030010400         ;UN;UN;1
22500802;RODAMIENTO FR 20 Z 900722     ;COD.1070170021 LB             ;UN;UN;1
25100967;PUENTE DIODO MDQ100-16        ;                              ;UN;UN;1
25100968;PUENTE DIODO EFG15G           ;                              ;UN;UN;1
25100969;POTENCIOMETRO DIGITAL 100K    ;DS1869-100                    ;UN;UN;1
11600044;CHAPA GUIA P/CINTA TRANSP.    ;SILOS LB PL 160010143         ;UN;UN;1
25100588;PUENTE FIJO UNION TRANSVESALES;10 POLOS JSSB-10-04/BKF       ;UN;UN;1
25100589;PUENTE FIJO UNION TRANSVESALES;2 POLOS JSSB-02-08/BKF        ;UN;UN;1
22500806;RODAMIENTO 3204 A  2RS1       ;                              ;UN;UN;1
12400153;CORREA 352 GLD8 341 MEGADYNE  ;TRACCION CINTA CROMA          ;UN;UN;1
12001325;DISTANCIADOR SUPERIOR EXTERIOR;POS.10 PEMO MEC125 1706/99    ;UN;UN;1
12001326;COPERCHIO ACTOLA CURSC SUP.   ;POS.5 PEMO.125 MEC125 1706/99 ;UN;UN;1
13000664;CILINDRO IMPRESOR GRABADO A   ;LASER ASTRA PRINT 650         ;UN;UN;1
12900522;CORPO SUPERIORE  POS.4        ;PEMO 503 J3/5 AUS/VA          ;UN;UN;1
12900523;GIRANTE POS: 5                ;PEMO 503 J3/5 AUS/VA          ;UN;UN;1
12900524;REVESTIMENTO DADO BLOCCAGIRANT;POS: 7 PEMO 503 J3/5 AUS/VA   ;UN;UN;1
10300093;VALVULA 5583193 TAV:3032.A    ;POS.3  Z2S6A3-64 REXROTH      ;UN;UN;1
11600441;MANGA DE DESCARGA DE SILOS LB ;PL: 160010145                 ;UN;UN;1
10900243;PINZA  POS.30 COD:C204060001  ;CPK EVERY 120/90 NOVASIMA     ;UN;UN;1
19900424;POL RESIN DIAMOND 320 F-170 EU;RA 73308411                   ;UN;CJ;1
19900425;POL RESIN DIAMOND 400 F-170 EU;RA 73308411                   ;UN;CJ;1
19900426;POL RESIN DIAMOND 500 F-170 EU;RA 73308903                   ;UN;CJ;1
11700270;NIPLES DIN 112                ;COD. NPDIN OB SASSOLESE       ;UN;UN;1
11700271;NIPLES DIN 3/4                ;COD. NPDIN 12 SASSOLESE       ;UN;UN;1
11700272;MINI PRESA  COD.135124        ;SYNCRO COD:135124 SITI        ;UN;UN;1
22500803;RODAMIENTO LR 20  900820      ;COD.1070170058 LB             ;UN;UN;1
10900287;RESORTE ACOPLADOR             ;NUOVAFIMA PL:090120046        ;UN;UN;1
25600846;VARILLA ROSCA METRICA 42 mm   ;                              ;UN;UN;1
25100970;ENCODER OPTICO 600-128-CBL    ;                              ;UN;UN;1
25000413;ALMOHADON                     ;                              ;UN;UN;1
19900427;POL RESIN DIAMOND 600 F-170 EU;RA 73309008                   ;UN;CJ;1
12002067;DIAMOND CALIBRATING MOV ROLLER;1000MM MACH D240 460x5-40x9-12;UN;UN;1
11700274;PORTA MANOMETRO 135126        ;SYNCRO COD:135126 SITI        ;UN;UN;1
26600180;"ENTREROSCA 3/4"" BSP MACHO     ";ALTA PRESION                  ;UN;UN;1
26600181;"ENTREROSCA 1/4"" BSP MACHO     ";ALTA PRESION                  ;UN;UN;1
25600847;TUERCA 42 mm ROSCA 4.5mm      ;                              ;UN;UN;1
25600848;ARANDELA PLANA 42             ;43x78x7 mm                    ;UN;UN;1
10700340;EJE PARA RODILLO RODILLERA    ;RODILLERA H2 PL:070010139     ;UN;UN;1
10700341;RODILLO RECTOS ù 48X650mm     ;RODILLERA H2 PL:070010140     ;UN;UN;1
25000414;FUENTE ALIMENTACION           ;                              ;UN;UN;1
12002063;DIAMOND CALIBRATING MOV ROLLER;1000MM MACH D240 615x5-40x9-12;UN;UN;1
12002064;DIAMOND CALIBRATING MOV ROLLER;1000MM MACH D240 615x5-60x9-12;UN;UN;1
12002068;DIAMOND CALIBRATING MOV ROLLER;1000MM MACH D240 460x5-60x9-12;UN;UN;1
12002069;DIAMOND CALIBRATING MOV ROLLER;1000MM MACH D240 460x7-70x9-12;UN;UN;1
12002070;DIAMOND CALIBRATING MOV ROLLER;1000MM MACH D240 460x7-80x9-12;UN;UN;1
26600182;"TAPON HIDRAULICA 1/4"" BSP     ";ALTA PRESION                  ;UN;UN;1
10800580;GUIDA PARA BRAZO B&T MAVER    ;PL:080010309                  ;UN;UN;1
29922400;CASQUETE ESFERICO ù 168,3mm   ;2,5mm ESPESOR AISI304         ;UN;UN;1
