num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status;
25100082;TIRA x 24 UNID. NUMERO 1 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100083;TIRA x 24 UNID. NUMERO 2 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100084;TIRA x 24 UNID. NUMERO 3 GRAFO;PLAST TRASP SYSTEM LARGE 11ã;UN;UN;1;
25100085;TIRA x 24 UNID. NUMERO 4 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100086;TIRA x 24 UNID. NUMERO 5 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100139;TERMINAL HOJAL AMARILLO C6;COD130677 10 mm;UN;UN;1;
25100144;TERMINAL HOJAL AZUL B3;COD34160 4 mm;UN;UN;1;
25100150;TERMINAL HOJAL ROJO A3;COD 34145 4 mm;UN;UN;1;
25100217;PRECINTO ALT Nõ 2 NEGRO;;UN;UN;1;
25100218;PRECINTO ALT Nõ 3 NEGRO;;UN;UN;1;
25100220;PRECINTO ALT Nõ6 NEGRO;;UN;UN;1;
25100224;PRECINTO ALT Nõ5 NEGRO;;UN;UN;1;
25100227;FICHA DE 10 AMP. 3 PATAS CHATA;S;UN;UN;1;
25100251;INTERRUPTOR TERMOMAG. BIPOLAR;C-25 AMP.;UN;UN;1;
25100276;TERMINAL DE COBRE TUBO STANDAR;SCC - 353  HOJAL 12 LCT;UN;UN;1;
25100304;FUSIBLE DIAZED 63 AMPERS.;;UN;UN;1;
25100308;CAPACITOR 33mF250VAC;;UN;UN;1;
25100360;LIMPIACONTACTO CONTACMATIC;SUPER VERDE 450 Grs;UN;UN;1;
25100403;ARRANCADOR PARA TUBO 220 V.36;40W;UN;UN;1;
25100451;PILA TAMAæO AAA;;UN;UN;1;
25100487;TERMINAL TIPO TIF 1.5;CODCT3N NEGRO PREAISLADO;UN;UN;1;
